matrix_rank_r,vector_dimension_n,router_hidden_h,feedback_rank_f,predicted_parameters,parameter_error,absolute_parameter_error,exact,matrix_ratio,vector_ratio,router_ratio,matrix_change_ratio,vector_change_ratio,router_change_ratio,nonbaseline_distance,structural_change_score,balance_score,ranking_score
760,176,120,32,47439592,1824,1824,False,1.484375,0.34375,3.75,0.484375,0.65625,2.75,1.598720802118056,0.6703125,0.40603622576989806,0.6496711177309694
760,184,100,32,47439544,1776,1776,False,1.484375,0.359375,3.125,0.484375,0.640625,2.125,1.3318880513203804,0.6625,0.4134994887533174,0.6481958466259952
760,192,80,32,47439496,1728,1728,False,1.484375,0.375,2.5,0.484375,0.625,1.5,1.089836749529488,0.6546875,0.4209067654528002,0.64670377963584
752,184,124,32,47436376,-1392,1392,False,1.46875,0.359375,3.875,0.46875,0.640625,2.875,1.642112420976408,0.6546875,0.4153167890975724,0.6463707867292717
752,192,104,32,47436328,-1440,1440,False,1.46875,0.375,3.25,0.46875,0.625,2.25,1.3696629375506955,0.646875,0.42278990611395134,0.6445144718341854
752,200,84,32,47436280,-1488,1488,False,1.46875,0.390625,2.625,0.46875,0.609375,1.625,1.118579770568465,0.6390625,0.4302150422649209,0.6426437626794763
768,168,116,32,47442808,5040,5040,False,1.5,0.328125,3.625,0.5,0.671875,2.625,1.5569432441887534,0.6859375,0.3968528373495743,0.6418646012048723
752,208,64,32,47436232,-1536,1536,False,1.46875,0.40625,2.0,0.46875,0.59375,1.0,0.9067886330341818,0.63125,0.43759879586676553,0.6407606387600296
768,176,96,32,47442760,4992,4992,False,1.5,0.34375,3.0,0.5,0.65625,2.0,1.2964042820432213,0.678125,0.4043171794702395,0.6403896538410718
760,200,60,32,47439448,1680,1680,False,1.484375,0.390625,1.875,0.484375,0.609375,0.875,0.8929520038893468,0.634375,0.4282653289745283,0.6389470986923584
768,184,76,32,47442712,4944,4944,False,1.5,0.359375,2.375,0.5,0.640625,1.375,1.0644513331406937,0.6703125,0.4117168055680308,0.6388952916704093
272,768,120,32,47439592,1824,1824,False,0.53125,1.5,3.75,0.46875,0.5,2.75,1.5363435691602318,0.584375,0.4906801038422478,0.6320955311526744
744,192,128,32,47433160,-4608,4608,False,1.453125,0.375,4.0,0.453125,0.625,3.0,1.6869935582642277,0.6390625,0.424710387144735,0.6285123661434204
744,200,108,32,47433112,-4656,4656,False,1.453125,0.390625,3.375,0.453125,0.609375,2.375,1.4095447514179889,0.63125,0.4322037301633369,0.626662119049001
768,192,56,32,47442664,4896,4896,False,1.5,0.375,1.75,0.5,0.625,0.75,0.8838834764831844,0.6375,0.41905978419640516,0.6248839352589215
744,208,88,32,47433064,-4704,4704,False,1.453125,0.40625,2.75,0.453125,0.59375,1.75,1.150428758387498,0.6234375,0.4396564962660446,0.6247996988798133
744,216,68,32,47433016,-4752,4752,False,1.453125,0.421875,2.125,0.453125,0.578125,1.125,0.9251794589429664,0.615625,0.44707470871624966,0.6229269126148749
280,768,96,32,47442760,4992,4992,False,0.546875,1.5,3.0,0.453125,0.5,2.0,1.206367384184851,0.5765625,0.49776004743749835,0.6176412642312494
280,760,116,32,47442808,5040,5040,False,0.546875,1.484375,3.625,0.453125,0.484375,2.625,1.4705773207315553,0.56875,0.500368063213977,0.6143254189641931
760,216,20,32,47439352,1584,1584,False,1.484375,0.421875,0.625,0.484375,0.578125,0.375,0.777176882215368,0.56875,0.442861946052511,0.6108975838157533
768,208,16,32,47442568,4800,4800,False,1.5,0.40625,0.5,0.5,0.59375,0.5,0.815499271918743,0.596875,0.4336040251746365,0.6093187075523909
736,208,112,32,47429896,-7872,7872,False,1.4375,0.40625,3.5,0.4375,0.59375,2.5,1.4513598149666402,0.615625,0.4417562030343943,0.6088513609103183
752,216,44,32,47436184,-1584,1584,False,1.46875,0.421875,1.375,0.46875,0.578125,0.375,0.767535880675946,0.5609375,0.4449471524083429,0.6076168957225028
736,216,92,32,47429848,-7920,7920,False,1.4375,0.421875,2.875,0.4375,0.578125,1.875,1.1851333324250906,0.6078125,0.44924604385540223,0.6070000631566207
760,208,40,32,47439400,1632,1632,False,1.484375,0.40625,1.25,0.484375,0.59375,0.25,0.7763911405503028,0.5640625,0.43558173953402257,0.6061777718602067
736,224,72,32,47429800,-7968,7968,False,1.4375,0.4375,2.25,0.4375,0.5625,1.25,0.9478594305064438,0.6,0.45670774423735333,0.605140323271206
744,240,8,32,47432872,-4896,4896,False,1.453125,0.46875,0.25,0.453125,0.53125,0.75,0.7925741783107749,0.5671875,0.4691747252236761,0.6047621675671029
288,768,72,32,47445928,8160,8160,False,0.5625,1.5,2.25,0.4375,0.5,1.25,0.9121574699579015,0.56875,0.5048390710504517,0.6031867213151354
288,760,92,32,47445976,8208,8208,False,0.5625,1.484375,2.875,0.4375,0.484375,1.875,1.14233604540214,0.5609375,0.5075219953836978,0.5998933486151093
752,224,24,32,47436136,-1632,1632,False,1.46875,0.4375,0.75,0.46875,0.5625,0.25,0.7428040202502946,0.540625,0.4522655689912624,0.5994641706973787
288,752,112,32,47446024,8256,8256,False,0.5625,1.46875,3.5,0.4375,0.46875,2.5,1.404860424561814,0.553125,0.5102624380010283,0.5966172314003085
744,224,48,32,47432968,-4800,4800,False,1.453125,0.4375,1.5,0.453125,0.5625,0.5,0.7643484255396881,0.5578125,0.45446386114123155,0.5960454083423694
768,200,36,32,47442616,4848,4848,False,1.5,0.390625,1.125,0.5,0.609375,0.125,0.7907238080549996,0.5671875,0.4263533496451961,0.5921077548935588
728,216,116,32,47426680,-11088,11088,False,1.421875,0.421875,3.625,0.421875,0.578125,2.625,1.494945912483124,0.6,0.4514626540199228,0.5910867962059768
728,224,96,32,47426632,-11136,11136,False,1.421875,0.4375,3.0,0.421875,0.5625,2.0,1.2224503121292907,0.5921875,0.45899878671895267,0.5892493860156858
728,232,76,32,47426584,-11184,11184,False,1.421875,0.453125,2.375,0.421875,0.546875,1.375,0.9745291330945423,0.584375,0.46651285004914067,0.5874053550147422
296,760,68,32,47449144,11376,11376,False,0.578125,1.484375,2.125,0.421875,0.484375,1.125,0.8538172557696406,0.553125,0.5146789051291046,0.5854621715387314
736,232,52,32,47429752,-8016,8016,False,1.4375,0.453125,1.625,0.4375,0.546875,0.625,0.7668994494880017,0.5546875,0.4641463756902404,0.5845236627070721
296,752,88,32,47449192,11424,11424,False,0.578125,1.46875,2.75,0.421875,0.46875,1.75,1.0785778034638949,0.5453125,0.5174973969718744,0.5822094690915622
736,248,12,32,47429656,-8112,8112,False,1.4375,0.484375,0.375,0.4375,0.515625,0.625,0.7449373400662636,0.5390625,0.4789727668259766,0.580775080047793
