candidate_rank,r,n,h,f_formula,predicted_parameters,actual_parameters,prediction_error,exact_parameter_match,initialization_succeeded,error
1,760,176,120,32,47439592,,,,False,TypeError: make_model() got an unexpected keyword argument 'config'
2,760,184,100,32,47439544,,,,False,TypeError: make_model() got an unexpected keyword argument 'config'
3,760,192,80,32,47439496,,,,False,TypeError: make_model() got an unexpected keyword argument 'config'
4,752,184,124,32,47436376,,,,False,TypeError: make_model() got an unexpected keyword argument 'config'
5,752,192,104,32,47436328,,,,False,TypeError: make_model() got an unexpected keyword argument 'config'
6,752,200,84,32,47436280,,,,False,TypeError: make_model() got an unexpected keyword argument 'config'
7,768,168,116,32,47442808,,,,False,TypeError: make_model() got an unexpected keyword argument 'config'
8,752,208,64,32,47436232,,,,False,TypeError: make_model() got an unexpected keyword argument 'config'
9,768,176,96,32,47442760,,,,False,TypeError: make_model() got an unexpected keyword argument 'config'
10,760,200,60,32,47439448,,,,False,TypeError: make_model() got an unexpected keyword argument 'config'
11,768,184,76,32,47442712,,,,False,TypeError: make_model() got an unexpected keyword argument 'config'
12,272,768,120,32,47439592,,,,False,TypeError: make_model() got an unexpected keyword argument 'config'
13,744,192,128,32,47433160,,,,False,TypeError: make_model() got an unexpected keyword argument 'config'
14,744,200,108,32,47433112,,,,False,TypeError: make_model() got an unexpected keyword argument 'config'
15,768,192,56,32,47442664,,,,False,TypeError: make_model() got an unexpected keyword argument 'config'
16,744,208,88,32,47433064,,,,False,TypeError: make_model() got an unexpected keyword argument 'config'
17,744,216,68,32,47433016,,,,False,TypeError: make_model() got an unexpected keyword argument 'config'
18,280,768,96,32,47442760,,,,False,TypeError: make_model() got an unexpected keyword argument 'config'
19,280,760,116,32,47442808,,,,False,TypeError: make_model() got an unexpected keyword argument 'config'
20,760,216,20,32,47439352,,,,False,TypeError: make_model() got an unexpected keyword argument 'config'
21,768,208,16,32,47442568,,,,False,TypeError: make_model() got an unexpected keyword argument 'config'
22,736,208,112,32,47429896,,,,False,TypeError: make_model() got an unexpected keyword argument 'config'
23,752,216,44,32,47436184,,,,False,TypeError: make_model() got an unexpected keyword argument 'config'
24,736,216,92,32,47429848,,,,False,TypeError: make_model() got an unexpected keyword argument 'config'
25,760,208,40,32,47439400,,,,False,TypeError: make_model() got an unexpected keyword argument 'config'
